Date,Rain (mm),Max Temp (C),Min Temp (C),Mean Wind Speed (kt),Max 10-min Wind (kt),Wind Dir @ Max Wind (deg),Max Gust (kt),Evaporation (mm),Soil Moisture Deficit - Moderate (mm),Mean Pressure (hPa)
26-02-2010,0.1,7.6,1.8,8.3,14,230.0,20,,,983.8
27-02-2010,0.1,8.6,-2.4,4.3,9,170.0,14,,,985.0
28-02-2010,0.0,8.8,-3.3,4.9,17,290.0,24,,,992.9
01-03-2010,0.0,10.0,-4.3,2.3,6,50.0,8,,,1006.3
02-03-2010,0.0,8.2,-1.8,7.1,12,120.0,19,,,1014.4
03-03-2010,12.5,5.6,1.4,5.4,8,110.0,13,,,1013.6
04-03-2010,0.0,7.7,-0.9,4.7,9,60.0,13,,,1022.1
05-03-2010,0.1,9.7,-4.7,2.4,6,320.0,9,,,1028.4
06-03-2010,0.0,8.6,-4.1,2.8,8,70.0,12,,,1025.2
07-03-2010,0.0,7.8,-2.1,6.5,12,120.0,18,,,1025.6
08-03-2010,0.0,7.8,-5.7,6.2,12,100.0,18,,,1025.3
09-03-2010,0.0,9.2,-4.5,4.3,7,60.0,11,,,1027.7
10-03-2010,0.0,8.9,-4.4,3.6,8,80.0,11,,,1027.6
11-03-2010,0.0,9.4,-5.3,3.0,7,320.0,12,,,1024.6
12-03-2010,0.3,11.0,2.1,6.5,12,350.0,17,,,1025.2
13-03-2010,0.1,10.7,1.5,4.4,10,320.0,14,,,1029.4
14-03-2010,0.0,11.0,-1.9,4.2,11,230.0,16,,,1028.8
15-03-2010,0.0,10.7,1.9,4.1,11,240.0,16,,,1023.5
16-03-2010,0.0,9.9,2.7,9.4,16,160.0,28,,,1013.4
17-03-2010,0.2,13.9,7.8,9.7,16,190.0,23,,,1006.1
18-03-2010,1.3,13.6,8.9,15.3,25,210.0,45,,,997.5
19-03-2010,0.2,11.3,4.1,5.8,16,220.0,26,,,1000.6
20-03-2010,0.1,12.3,3.1,5.8,11,330.0,19,,,1001.6
21-03-2010,1.3,12.6,3.7,7.3,17,170.0,28,,,1003.7
22-03-2010,6.2,10.5,3.9,10.9,22,230.0,35,,,1002.7
23-03-2010,0.8,10.2,5.0,9.5,15,170.0,25,,,1000.7
24-03-2010,10.8,11.8,4.4,6.5,12,250.0,18,,,991.7
25-03-2010,3.3,13.1,5.8,8.2,13,70.0,20,,,989.2
26-03-2010,0.6,13.2,3.9,3.9,10,340.0,15,,,990.8
27-03-2010,0.3,11.5,3.8,7.4,16,240.0,23,,,1000.2
28-03-2010,0.0,10.7,2.7,3.9,8,300.0,12,,,1000.7
29-03-2010,26.1,4.9,1.0,11.3,19,50.0,29,,,990.5
30-03-2010,7.5,4.7,2.6,15.7,21,310.0,34,,,986.5
31-03-2010,1.6,6.9,-0.8,12.2,21,300.0,32,,,996.5
01-04-2010,0.4,9.6,-0.4,5.2,11,230.0,16,,,997.1
02-04-2010,7.7,10.3,3.1,7.2,17,80.0,24,,,988.6
03-04-2010,0.3,10.3,1.4,8.2,16,310.0,29,,,997.6
04-04-2010,10.8,9.3,-1.1,8.3,17,180.0,29,,,1004.9
05-04-2010,21.7,13.5,7.4,14.4,27,190.0,40,,,999.0
06-04-2010,11.1,11.7,3.2,5.4,14,240.0,21,,,1003.6
07-04-2010,0.8,11.1,1.5,7.2,17,240.0,23,,,1017.1
08-04-2010,0.0,12.4,5.6,5.6,12,240.0,16,,,1024.9
09-04-2010,0.0,15.2,4.5,6.1,13,160.0,20,,,1025.5
10-04-2010,0.0,18.5,4.5,5.6,10,170.0,16,,,1026.0
11-04-2010,0.0,18.4,3.0,3.7,8,0.0,12,,,1025.6
12-04-2010,0.0,17.0,3.1,4.9,9,50.0,14,,,1025.4
13-04-2010,0.0,16.1,2.3,5.0,10,60.0,14,,,1023.6
14-04-2010,0.0,12.6,5.0,6.4,13,50.0,20,,,1021.2
15-04-2010,0.0,15.0,2.5,6.6,11,50.0,16,,,1023.1
16-04-2010,0.0,15.4,1.2,4.0,8,80.0,12,,,1023.4
17-04-2010,0.0,13.7,1.0,3.5,8,240.0,11,,,1017.2
18-04-2010,0.0,13.4,2.1,3.3,8,270.0,13,,,1013.2
19-04-2010,0.6,12.5,1.2,5.3,9,280.0,15,,,1015.2
20-04-2010,0.0,11.6,-1.8,4.2,9,350.0,14,,,1017.8
21-04-2010,0.0,12.1,-1.1,4.8,9,110.0,15,,,1018.2
22-04-2010,0.0,13.0,3.4,4.2,8,100.0,15,,,1013.4
23-04-2010,0.0,15.7,5.9,5.6,10,200.0,15,,,1008.3
24-04-2010,6.0,15.0,6.1,6.3,12,150.0,19,,,1006.0
25-04-2010,2.1,15.2,9.2,8.0,15,240.0,21,,,1010.3
26-04-2010,1.2,16.8,9.4,5.0,10,250.0,14,,,1017.9
27-04-2010,5.0,14.8,10.6,9.9,16,160.0,24,,,1014.2
28-04-2010,1.4,16.4,9.3,11.4,19,230.0,26,,,1007.6
29-04-2010,0.6,13.4,6.8,8.0,16,230.0,23,,,1004.7
30-04-2010,7.1,14.5,7.3,6.6,13,230.0,18,,,1002.5
01-05-2010,8.8,13.0,7.3,4.0,11,320.0,21,,,1006.9
02-05-2010,0.4,11.8,4.8,9.2,15,340.0,28,,,1016.1
03-05-2010,0.0,13.0,3.3,7.8,13,350.0,21,,,1025.2
04-05-2010,0.0,13.2,3.0,6.0,10,310.0,15,,,1027.2
05-05-2010,0.3,14.7,8.4,7.3,13,310.0,19,,,1020.2
06-05-2010,0.0,14.6,6.1,9.8,15,350.0,24,,,1013.0
07-05-2010,0.0,12.8,2.7,8.2,15,60.0,23,,,1013.1
08-05-2010,0.0,15.0,2.8,7.8,15,60.0,22,,,1014.3
09-05-2010,0.0,14.9,0.7,6.1,13,350.0,21,,,1012.2
10-05-2010,0.0,11.8,3.3,8.3,15,350.0,25,,,1013.3
11-05-2010,1.5,11.8,0.3,5.2,12,230.0,18,,,1013.2
12-05-2010,0.1,12.3,0.4,5.1,10,350.0,18,,,1012.5
13-05-2010,1.5,12.2,5.4,7.0,14,240.0,20,,,1006.0
14-05-2010,0.5,14.6,2.4,7.9,16,320.0,23,,,1007.6
15-05-2010,2.9,13.2,4.6,8.5,16,220.0,25,,,1011.3
16-05-2010,0.0,14.8,0.2,5.5,13,280.0,22,,,1014.0
17-05-2010,0.0,14.9,3.2,3.7,9,240.0,14,,,1019.3
18-05-2010,5.9,14.2,7.0,6.7,12,150.0,18,,,1019.3
19-05-2010,1.1,18.1,11.7,5.4,8,220.0,12,,,1021.2
20-05-2010,0.1,22.1,12.3,4.2,9,210.0,14,,,1025.6
21-05-2010,0.0,20.8,9.6,2.6,8,180.0,11,,,1025.1
22-05-2010,0.0,24.5,7.4,3.7,7,110.0,11,,,1022.8
23-05-2010,0.0,24.5,9.1,4.3,9,320.0,15,,,1018.3
24-05-2010,0.0,19.9,10.0,5.9,9,20.0,15,,,1013.2
25-05-2010,0.0,17.5,4.8,6.5,10,10.0,16,,,1010.7
26-05-2010,0.0,16.2,3.3,7.0,13,340.0,23,,,1009.2
27-05-2010,1.0,12.8,1.6,5.2,12,220.0,17,,,1008.2
28-05-2010,0.8,15.2,2.7,4.1,9,250.0,13,,,1006.7
29-05-2010,3.9,14.3,7.6,6.3,10,310.0,15,,,1002.8
30-05-2010,0.0,15.8,4.4,3.5,7,330.0,11,,,1010.7
31-05-2010,9.6,17.9,10.9,6.3,12,160.0,19,,,1011.5
01-06-2010,1.5,16.9,10.1,7.5,15,240.0,22,,,1011.9
02-06-2010,0.0,21.0,8.3,3.5,8,180.0,12,,,1016.4
03-06-2010,0.0,20.0,10.3,8.1,15,140.0,26,,,1013.5
04-06-2010,1.2,18.3,11.5,6.8,12,240.0,20,,,1012.1
05-06-2010,0.0,19.2,8.1,4.7,10,230.0,15,,,1013.5
06-06-2010,0.0,18.2,11.4,5.7,12,240.0,19,,,1010.0
07-06-2010,5.1,14.6,11.2,7.7,15,70.0,22,,,1001.4
08-06-2010,2.3,15.5,11.8,7.6,12,20.0,19,,,997.4
09-06-2010,1.5,15.4,11.5,8.7,14,40.0,21,,,1004.4
10-06-2010,0.1,20.2,8.4,7.8,12,330.0,19,,,1010.2
11-06-2010,0.0,19.1,8.6,7.6,17,330.0,24,,,1011.9
12-06-2010,0.0,17.2,10.7,6.4,11,240.0,16,,,1015.5
13-06-2010,2.9,16.8,9.5,9.7,19,280.0,28,,,1012.8
14-06-2010,0.1,20.5,8.8,8.0,11,330.0,17,,,1020.1
15-06-2010,0.0,21.0,7.9,5.1,10,240.0,14,,,1025.4
16-06-2010,0.0,20.5,8.6,4.2,9,230.0,13,,,1023.7
17-06-2010,0.0,21.9,10.6,4.6,9,330.0,14,,,1020.7
18-06-2010,0.0,18.3,9.8,6.9,12,320.0,18,,,1019.8
19-06-2010,0.0,20.5,5.7,7.7,13,340.0,21,,,1018.3
20-06-2010,0.0,21.8,4.3,4.9,9,240.0,13,,,1019.2
21-06-2010,0.0,21.1,6.7,5.8,15,230.0,21,,,1017.7
22-06-2010,0.0,19.9,10.0,5.3,10,240.0,16,,,1016.1
23-06-2010,0.0,19.4,14.1,7.6,14,230.0,22,,,1014.4
24-06-2010,0.0,19.9,9.5,5.8,11,240.0,18,,,1014.8
25-06-2010,0.2,21.6,9.2,4.5,12,150.0,17,,,1011.7
26-06-2010,0.4,22.1,12.6,7.1,14,200.0,21,,,1007.8
27-06-2010,0.0,20.4,13.5,10.8,18,220.0,28,,,1010.0
28-06-2010,8.0,19.5,12.6,5.5,10,240.0,14,,,1011.7
29-06-2010,0.0,21.0,10.1,2.7,8,240.0,12,,,1014.6
30-06-2010,5.0,22.1,12.1,8.4,15,150.0,24,,,1006.1
01-07-2010,4.7,20.0,11.9,10.6,16,150.0,29,,,996.7
02-07-2010,0.3,18.8,11.7,11.4,20,230.0,31,,,1002.2
03-07-2010,1.6,17.6,11.7,9.8,16,220.0,24,,,1010.2
04-07-2010,5.4,17.9,12.1,13.6,24,250.0,37,,,1008.5
05-07-2010,0.1,17.9,11.2,7.7,14,250.0,22,,,1018.5
06-07-2010,3.6,19.2,10.2,9.9,19,210.0,30,,,1015.0
07-07-2010,0.6,18.0,12.0,13.0,21,230.0,30,,,1008.5
08-07-2010,6.5,16.4,11.1,6.6,12,200.0,20,,,1007.9
09-07-2010,11.8,17.1,12.2,4.5,10,270.0,15,,,1006.5
10-07-2010,9.2,18.3,11.6,7.5,19,280.0,28,,,1002.7
11-07-2010,5.4,17.8,10.6,5.8,14,280.0,20,,,1006.8
12-07-2010,0.1,19.1,10.7,3.2,6,260.0,8,,,1007.7
13-07-2010,3.3,17.2,12.0,7.2,15,100.0,20,,,999.0
