created_at,entry_id,Mean Wind (kt),Max minute gust (kt),Max Temp (C),Min temp (C)
2026-02-10 13:36:10 UTC,1,0,0,21,0
2026-02-10 13:36:42 UTC,2,0,0,21.01,21
2026-02-10 13:37:13 UTC,3,1,0,34.04,21.01
2026-02-10 13:37:42 UTC,4,3,0,60,38.07
2026-02-10 13:38:10 UTC,5,0,0.97192,60,60
2026-02-10 13:38:38 UTC,6,0,0.97192,60,58.02
2026-02-10 13:39:05 UTC,7,3,1.490277333,60,57
2026-02-10 13:39:37 UTC,8,4,1.652264,60,60
2026-02-10 13:40:09 UTC,9,4,2.624184,60,60
2026-02-10 13:40:41 UTC,10,4,3.531309333,60,60
2026-02-10 13:41:14 UTC,11,3,3.758090667,60,60
2026-02-10 13:41:45 UTC,12,2,3.758090667,60,60
2026-02-10 13:42:14 UTC,13,2,3.758090667,60,60
2026-02-10 13:42:42 UTC,14,2,3.758090667,60,60
2026-02-10 13:43:11 UTC,15,4,3.758090667,60,60
2026-02-10 13:43:43 UTC,16,4,3.758090667,60,60
2026-02-10 13:44:15 UTC,17,6,3.952474667,60,60
2026-02-10 13:44:48 UTC,18,5,4.535626667,60,60
2026-02-10 13:45:20 UTC,19,6,5.183573333,60,60
2026-02-10 13:45:52 UTC,20,2,5.215970667,60,60
2026-02-10 13:46:20 UTC,21,0,5.215970667,60,60
2026-02-10 13:46:48 UTC,22,0,5.215970667,60,57.08
2026-02-10 13:47:16 UTC,23,0,5.215970667,57.04,51.09
